Number,Freq
2457,285
1245,282
1467,282
1258,281
3459,279
4579,279
0146,277
2368,276
1236,275
0345,274
0357,272
0456,272
0289,270
0579,270
3689,269
0158,269
1249,268
3579,267
5789,267
0578,267
0258,266
2569,264
1389,263
2347,263
2579,263
0128,263
2357,262
0268,261
1458,260
1678,260
0245,260
0467,260
1235,259
2567,259
0127,259
0356,259
0369,259
3457,258
0379,258
0469,258
1489,257
1237,256
2345,255
4569,255
0126,255
0279,255
0378,255
1356,254
2679,254
1358,253
1457,253
1459,253
3468,253
4578,253
0156,253
0278,253
1239,252
3467,252
0269,252
0457,252
1569,251
3489,251
0129,251
0139,251
2358,250
2359,250
2789,250
4568,250
0135,250
4678,249
0239,249
0367,249
3789,248
5689,248
0348,248
1479,247
4679,247
0234,247
1238,246
1349,246
1456,246
1689,246
0346,246
0689,246
6789,245
0189,245
0389,245
1379,244
1567,244
0148,244
0368,244
1267,243
1278,243
0249,243
0478,243
2467,242
0123,242
0157,242
0257,242
2349,241
0138,241
1268,240
1368,240
2369,240
2456,240
3567,240
3578,240
0267,240
1246,239
2348,239
2578,239
0125,239
0236,239
0458,239
1469,238
2356,238
2468,238
2469,238
4589,238
0147,238
1346,237
2379,237
2568,237
5679,237
0134,237
0137,237
0479,237
1259,236
1568,236
0589,236
1367,235
2478,235
0235,235
0246,235
0349,235
1234,234
1247,234
1256,234
1289,234
2479,234
2589,234
3469,234
0237,234
1257,233
1369,233
1789,233
3568,233
0247,233
0459,233
2389,232
2678,232
3458,232
3678,232
4567,232
0149,232
0168,232
0359,232
1269,231
1348,231
0169,231
1248,230
1279,230
0136,229
4689,228
0679,228
0789,228
1347,227
1478,227
2367,227
4789,227
0568,227
0678,227
1357,226
1378,226
1589,226
2458,226
2489,226
0256,226
0259,225
1679,224
0248,224
0567,224
1578,223
5678,223
2346,222
0124,222
0178,222
0347,222
1468,221
2689,221
3679,221
0167,221
2378,220
3569,220
0238,220
0468,219
0145,218
0569,218
2459,217
1345,214
0358,214
0179,213
3478,212
3589,212
1579,210
3479,205
0159,203
0489,203
1359,202
3456,197
2259,148
3347,147
3899,145
0049,144
4667,143
1334,142
1447,142
2366,141
0779,141
1148,140
2445,140
0058,140
1355,139
1577,139
0399,139
0667,139
1128,138
1556,138
0155,138
0227,138
1244,137
1446,137
3559,137
3577,137
3778,137
4479,137
0079,137
1299,136
3378,136
3566,136
5788,136
6779,136
0067,136
0446,136
0699,136
1123,135
1339,135
2899,135
3356,135
0177,135
0488,135
1499,134
1699,134
4799,134
1169,133
2234,133
2257,133
2399,133
4469,133
4588,133
0034,133
0288,133
0448,133
0588,133
1146,132
2335,132
2556,132
4478,132
0144,132
0338,132
0466,132
0477,132
1288,131
2448,131
3889,131
0015,131
0889,131
3368,130
3688,130
4577,130
4688,130
5688,130
1455,129
1599,129
2258,129
2377,129
4468,129
4558,129
4559,129
7789,129
0025,129
0166,129
1126,128
2268,128
3349,128
6778,128
0029,128
0047,128
0225,128
0228,128
1338,127
1466,127
2247,127
2455,127
2788,127
0027,127
0035,127
1125,126
1399,126
2238,126
2249,126
2557,126
2667,126
3788,126
5778,126
7889,126
7899,126
0039,126
1277,125
1366,125
2446,125
2449,125
3367,125
3379,125
5578,125
0012,125
0024,125
0059,125
0089,125
0122,125
0188,125
0199,125
0229,125
0255,125
0566,125
1158,124
1233,124
1337,124
1344,124
2339,124
3369,124
0046,124
0056,124
0113,124
1228,123
1255,123
2334,123
2558,123
2779,123
3359,123
3588,123
4457,123
4458,123
0014,123
0449,123
0599,123
1134,122
1178,122
1223,122
1445,122
2235,122
2688,122
3557,122
3599,122
4668,122
5589,122
6678,122
0016,122
0388,122
0558,122
1899,121
2559,121
2588,121
3455,121
4599,121
0078,121
0299,121
0335,121
0669,121
0677,121
1189,120
2269,120
2278,120
2289,120
4566,120
4788,120
5799,120
0019,120
0233,120
0366,120
0377,120
0557,120
1667,119
1669,119
2237,119
2245,119
2256,119
3447,119
3699,119
0018,119
0445,119
0559,119
1377,118
1588,118
1778,118
2248,118
2337,118
2338,118
2466,118
3445,118
3449,118
4779,118
0244,118
0344,118
0788,118
1167,117
2799,117
2889,117
3345,117
3389,117
3499,117
3556,117
0026,117
0778,117
0899,117
1138,116
1157,116
1227,116
1488,116
1799,116
1889,116
2499,116
2577,116
2599,116
4889,116
6689,116
0117,116
0133,116
0336,116
0337,116
1156,115
1335,115
1388,115
1558,115
1779,115
1788,115
2236,115
0023,115
0455,115
0577,115
1137,114
1147,114
1225,114
1668,114
2488,114
3799,114
4456,114
4677,114
5579,114
5667,114
0017,114
0028,114
0036,114
0045,114
0112,114
0118,114
0266,114
1124,113
1135,113
2566,113
3358,113
4467,113
6679,113
0048,113
0339,113
0447,113
0668,113
2668,112
3779,112
4899,112
5668,112
1336,111
2336,111
2477,111
3357,111
5569,111
5677,111
6799,111
0069,111
0115,111
0223,111
1557,110
2669,110
2677,110
3477,110
3558,110
0226,110
1224,109
1266,109
1677,109
3446,109
4489,109
4699,109
1159,108
1179,108
1226,108
1566,108
2267,108
